PRODUCTO;PRECIO;0,3; TOTAL
PERRITO ESPECIAL;2,5;0,75; 3,25 € 
PERRITO NORMAL;2,25;0,675; 2,93 € 
EXTRA NACHO;0,2;0,06; 0,26 € 
EXTRA PERRITO;0,1;0,03; 0,13 € 
PAN;0,5;0,15; 0,65 € 
PITZELLA 4 QUESO;3,5;1,05; 4,55 € 
PITZELLA PEPPERONI;3,5;1,05; 4,55 € 
PITZELLA JAMON Y QUESO;3,5;1,05; 4,55 € 
PITZELLA JAMON, QUESO Y CHAMPIÑONES;3,5;1,05; 4,55 € 
CONO NACHOS;1,6;0,48; 2,08 € 
GRANIZADO GRANDE (3 SABORES) (FRESA, MARACUYA, MORA, COCO, ENERGY, SANDÍA, MOJITO, FRUTAS DEL BOSQUE, LIMON, CHICLE, COLA, MANDARINA, MELON, SAN FRANCISCO, TROPICAL, PIÑA COLADA, MENTA);1,7;0,51; 2,21 € 
GRANIZADO PEQUEÑO (2 SABORES) (FRESA, MARACUYA, MORA, COCO, ENERGY, SANDÍA, MOJITO, FRUTAS DEL BOSQUE, LIMON, CHICLE, COLA, MANDARINA, MELON, SAN FRANCISCO, TROPICAL, PIÑA COLADA, MENTA);1,2;0,36; 1,56 € 
CESTAS;20,5;6,15; 26,65 € 
TAZAS;12,5;3,75; 16,25 € 
BOLSAS;0,1;0,03; 0,13 € 
FOTOCOPIA BN;0,2;0,06; 0,26 € 
RECARGA MÓVIL;NO DISPONIBLE;;
RECARGA BONO;NO DISPONIBLE;;
COMBO NACHOS;1,25;0,375; 1,63 € 
FOTOCOPIA COLOR;0,3;0,09; 0,39 € 
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
