ID,Tipo,SKU,GTIN,Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Día en que empieza el precio rebajado,Día en que termina el precio rebajado,Estado del impuesto,Clase de impuesto,¿Existencias?,Inventario,Cantidad de bajo inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (kg),Longitud (cm),Anchura (cm),Altura (cm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición,Marcas
1,simple,SKU-0001,,CHESTERFIELD 24,1,0,visible,Producto de la categoría MUEBLE TABACO,Producto CHESTERFIELD 24 de la categoría MUEBLE TABACO,,,taxable,standard,1,100,5,0,0,,,,,1,,,4.42,MUEBLE TABACO,mueble-tabaco,,,,,,,,,,,1,
2,simple,SKU-0002,,CARTON CHESTERFIELD 24,1,0,visible,Producto de la categoría MUEBLE TABACO,Producto CARTON CHESTERFIELD 24 de la categoría MUEBLE TABACO,,,taxable,standard,1,100,5,0,0,,,,,1,,,34.71,MUEBLE TABACO,mueble-tabaco,,,,,,,,,,,2,
3,simple,SKU-0003,,CHESTERFIELD RED,1,0,visible,Producto de la categoría MUEBLE TABACO,Producto CHESTERFIELD RED de la categoría MUEBLE TABACO,,,taxable,standard,1,100,5,0,0,,,,,1,,,4.17,MUEBLE TABACO,mueble-tabaco,,,,,,,,,,,3,
4,simple,SKU-0004,,CARTON CHESTERFIELD,1,0,visible,Producto de la categoría MUEBLE TABACO,Producto CARTON CHESTERFIELD de la categoría MUEBLE TABACO,,,taxable,standard,1,100,5,0,0,,,,,1,,,41.02,MUEBLE TABACO,mueble-tabaco,,,,,,,,,,,4,
5,simple,SKU-0005,,LM BLUE POCKET,1,0,visible,Producto de la categoría MUEBLE TABACO,Producto LM BLUE POCKET de la categoría MUEBLE TABACO,,,taxable,standard,1,100,5,0,0,,,,,1,,,4.17,MUEBLE TABACO,mueble-tabaco,,,,,,,,,,,5,
6,simple,SKU-0006,,CARTON LM BLUE POCKET,1,0,visible,Producto de la categoría MUEBLE TABACO,Producto CARTON LM BLUE POCKET de la categoría MUEBLE TABACO,,,taxable,standard,1,100,5,0,0,,,,,1,,,41.15,MUEBLE TABACO,mueble-tabaco,,,,,,,,,,,6,
7,simple,SKU-0007,,LM BLUE,1,0,visible,Producto de la categoría MUEBLE TABACO,Producto LM BLUE de la categoría MUEBLE TABACO,,,taxable,standard,1,100,5,0,0,,,,,1,,,4.42,MUEBLE TABACO,mueble-tabaco,,,,,,,,,,,7,
8,simple,SKU-0008,,CARTON LM BLUE,1,0,visible,Producto de la categoría MUEBLE TABACO,Producto CARTON LM BLUE de la categoría MUEBLE TABACO,,,taxable,standard,1,100,5,0,0,,,,,1,,,43.54,MUEBLE TABACO,mueble-tabaco,,,,,,,,,,,8,
9,simple,SKU-0009,,LM FIRST CUT,1,0,visible,Producto de la categoría MUEBLE TABACO,Producto LM FIRST CUT de la categoría MUEBLE TABACO,,,taxable,standard,1,100,5,0,0,,,,,1,,,3.91,MUEBLE TABACO,mueble-tabaco,,,,,,,,,,,9,
10,simple,SKU-0010,,CARTON LM FIRST CUT,1,0,visible,Producto de la categoría MUEBLE TABACO,Producto CARTON LM FIRST CUT de la categoría MUEBLE TABACO,,,taxable,standard,1,100,5,0,0,,,,,1,,,38.62,MUEBLE TABACO,mueble-tabaco,,,,,,,,,,,10,
